,Coauthor,Paper,Journal,AuthorID,PaperNO,PaperID,Author
1,A Kumar; Ahmed Hemani ; Johnny &Ouml;berg,Grammar-Based Hardware Synthesis of Data Communication Protocols ,ISSS International Symposium Systems Synthesis,10,1,1,AKumar
2,A Kumar; Ahmed Hemani ; Johnny &Ouml;berg,Specification of Exception Handling in Grammar-Based Hardware Synthesis ,EUROMICRO,10,2,2,AKumar
3,A Kumar; Ahmed Hemani ; Johnny &Ouml;berg,Scheduling of Outputs in Grammar-based Hardware Synthesis of Data Communication Protocols ,DATE Design Automation and Test Europe,10,3,3,AKumar
4,A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Nick P Tosches ; Perry Miller ; Peter Masiar ; Yang Liu,The TRIPLES database: a community resource for yeast molecular biology ,Nucleic Acids Research,11,1,4,AKumar
5,A Kumar; Kei-Hoi Cheung ; Michael Snyder ; Paulo S R Coelho ; Perry Miller ; Petra Ross-Macdonald,TRIPLES: a database of gene function in Saccharomyces cerevisiae ,Nucleic Acids Research,11,2,5,AKumar
6,A Kumar; Kei-Hoi Cheung ; Mark Gerstein ; Michael Snyder ; Perry L Miller ; Yang Liu,An XML Application For Genomic Data Interoperation ,BIBE IEEE International Conference Bioinformatics and Bioengineering,11,3,6,AKumar
7,A Kumar; Vishv M Malhotra,A Look-Ahead Interpreter for Sequential Prolog and Its Implementation ,FSTTCS Foundations of Software Technology and Theoretical Computer Science,12,1,7,AKumar
8,A Kumar; ,A New Computation Rule for Prolog ,Inf Process Lett,12,2,8,AKumar
9,A Kumar; Manish Kumar Shukla ; P C Mishra ; S K Mishra,An ab initio study of excited states of guanine in the gas phase and aqueous media: Electronic transitions and mechanism of spectral oscillations ,Journal of Computational Chemistry,13,1,9,AKumar
10,A Kumar; David J Craik ; George C Levy,MOLDYN: a generalized program for the evaluation of molecular dynamics models using nuclear magnetic resonance spin-relaxation data ,Journal of Chemical Information and Computer Sciences,13,2,10,AKumar
11,A Kumar; Abhay Chrungoo ; Johara Shahabuddin ; Sandeep Juneja ; Sanjiv Kapoor ; Vishu Gupta,Stream-Packing: Resource Allocation in Web Server Farms with a QoS Guarantee ,HiPC,14,1,11,AKumar
12,A Kumar; Neeran M Karnik ; Vikas Agarwal,Metering and Accounting for Composite e-Services ,CEC,14,2,12,AKumar
13,N Adly; A Kumar;,"HPP: A Hierarchical Propagation Protocol for Large Scale Replication in Wide Area Networks,",Seventh International Conference Computing and Information Peterborough,1,16,13,AKumar
14,A Kumar;Noha Adly,HPP: A Reliable Causal Broadcast Protocol for Large-Scale Replication ,Comput J,1,17,14,AKumar
15,A Kumar; T Camp,"A New Matching Algorithm for Managing Location Information in Mobile Computing,",Proceedings of the th IEEE International Conference Performance Computing and Communications IPCCC International Performance Computing and Communications Conference,1,50,15,AKumar
16,A Basu ; A Kumar,"Research Commentary: Workflow Management Systems in e-Business,",Information Systems Research,1,18,16,AKumar
17,A Kumar,"A New Approach for Conflict Resolution and Rule Processing in a Knowledge-Based System,",Proceedings of the Eleventh International Conference Information Systems Copenhagen,1,51,17,AKumar
18,A Kumar;Shun Yan Cheung,Efficient Quorumcast Routing Algorithms ,INFOCOM The Conference Computer Communications,1,19,18,AKumar
19,A Kumar;,"New Techniques for data reduction in database systems for knowledge discovery applications,",Journal of Intelligent Information Systems,1,52,19,AKumar
20,A Kumar; L Zhao,"Workflow Support for Electronic Commerce Applications,",Decision Support Systems,1,53,20,AKumar
21,A Kumar,"Zigzag Path-Based Matching Algorithms for High Availability and Load Balancing,", manuscript,1,54,21,AKumar
22,A Kumar; M Stonebraker,"Performance Considerations for an Operating System Transaction Manager,",IEEE Transactions Software Engineering,1,55,22,AKumar
23,A Kumar; M Stonebraker,"Performance Evaluation of an Operating System Transaction Manager,",Proceedings of the Thirteenth International VLDB Very Large Data Bases Very Large Databases Conference U K,1,56,23,AKumar
24,A Kumar,"Performance Analysis of a Hierarchical Quorum Consensus Algorithm for Replicated Objects,",Proceedings of the Tenth IEEE International Conference Distributed Computing Systems,1,57,24,AKumar
25,A Kumar;J Leon Zhao,"Data Management Issues for Large Scale, Distributed Workflow Systems on the Internet ",DATA BASE,1,90,25,AKumar
26,A Kumar; M Rabinovich; R Sinha,"A Performance Study of General Grid Structures for Replicated Data,",IEEE International Conference Distributed Computing Systems,1,58,26,AKumar
27,L Zhao; A Kumar; E Stohr,"A Dynamic Grouping Technique for Distributing Codified- Knowledge in Large Organizations,",Workshop Information Technology and Systems WITS Workshop Information Technologies and Systems Sydney,1,91,27,AKumar
28,A Kumar; M Stonebraker,"Operating System Support for Data Management,",IEEE Data Engineering,1,59,28,AKumar
29,A Kumar;J Leon Zhao,A Framework for Dynamic Routing and Operational Integrity Controls in a Workflow Management System ,HICSS INTERNATIONAL CONFERENCE SYSTEM SCIENCES,1,92,29,AKumar
30,L Zhao; A Kumar; E A Stohr,"Workflow-centric Information Distribution through Email,",Journal of Management Information Systems Winter,1,93,30,AKumar
31,L Zhao; A Kumar; E Stohr,"A Workflow-centric Study of Organizational Knowledge Distribution,", rd International Conference Systems Sciences,1,94,31,AKumar
