"","X","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"1",1,"MBrown JianyingHu WilliamTurin","Invariant Features for HMM Based On-Line Handwriting Recognition ","ICIAP",10,1,1,"MBrown"
"2",2,"MBrown AmySRosenthal JianyingHu","Combining High-Level Features with Sequential Local Features for On-Line Handwriting Recognition ","ICIAP",10,2,2,"MBrown"
"3",3,"MBrown JianyingHu WilliamTurin","HMM Based On-Line Handwriting Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence",10,3,3,"MBrown"
"4",4,"MBrown MaryDBrown JaredStark YaleNPatt","Select-Free Instruction Scheduling Logic,","Proceedings of the th ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture talk slides",11,1,4,"MBrown"
"5",5,"MBrown MaryDBrown YaleNPatt","Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files,"," the Proceedings of the th IEEE International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture talk slides",11,2,5,"MBrown"
"6",6,"MBrown YaleNPatt","Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files ","HPCA International Symposium High Performance Computer Architecture",11,3,6,"MBrown"
"7",7,"MBrown JaredStark MaryDBrown YaleNPatt","On Pipelining Dynamic Instruction Scheduling Logic,","Proceedings of the rd ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture",11,4,7,"MBrown"
"8",8,"MBrown JaredStark YaleNPatt","Select-free instruction scheduling logic ","MICRO International Symposium Microarchitecture",11,5,8,"MBrown"
"9",9,"MBrown ","Selecting Semantics for Use with Semantic Pruning of Linear Deductions ","Australian Joint Conference Artificial Intelligence",12,1,9,"MBrown"
"10",10,"MBrown GSutcliffe","PTTP+GLiDeS: Guiding Linear Deductions with Semantics ","N Foo editor Advanced Topics Artificial Intelligence th Australian Joint Conference Artificial Intelligence AI Artificial Intelligence Sydney number Lecture Notes Artificial Intelligence pages Springer Verlag Heidelberg",12,2,10,"MBrown"
"11",11,"MBrown GSutcliffe","PTTP+GLiDeS - Semantically Guided PTTP,","D McAllester editor Automated Deduction CADE Conference Automated Deduction th International Conference Automated Deduction Proceedings p number LNAI Springer Verlag New",12,3,11,"MBrown"
"12",12,"MBrown GSutcliffe","PTTP+GLiDeS - Using Models to Guide Linear Deductions ","Baumgartner P Fermueller C Peltier N Zhang H Eds Proceedings of the CADE Conference Automated Deduction Workshop Model Computation Principles Algorithms Applications",12,4,12,"MBrown"
"13",13,"MBrown GSutcliffe","System Description: PTTP+GLiDeS - Semantically Guided PTTP ","Technical Report School of Information Technology James Cook University",12,5,13,"MBrown"
"14",14,"MBrown","Selecting Semantics for Use with Semantic Pruning of Linear Deductions,","McKay Bob and Slaney J editor AI Artificial Intelligence Advances Artifical Intelligence th Australian Joint Intelligence Canberra Proceedings number LNAI Springer Verlag Heidelberg",12,6,14,"MBrown"
"15",15,"MBrown GeoffSutcliffe","PTTP+GLiDeS: Guiding Linear Deductions with Semantics ","Australian Joint Conference Artificial Intelligence",12,7,15,"MBrown"
"16",16,"MBrown GeoffSutcliffe","System Description: PTTP+GLiDes: Semantically Guided PTTP ","CADE Conference Automated Deduction",12,8,16,"MBrown"
"17",17,"MBrown SauravChatterjee","Adaptive QoS Resource Management in Dynamic Environments ","ICMCS International Conference Multimedia Computing and Systems",13,1,17,"MBrown"
"18",18,"MBrown BikashSabata SauravChatterjee","Adaptive QoS Support for Distributed, Java-Based Applications ","ISORC IEEE International symposium Object Oriented Real Time Distributed Computing",13,2,18,"MBrown"
"19",19,"MBrown MadhuSudan NachumShacham","Conducting a Multiparty Multimedia Session over ATM using Hierarchically Encoded Data ","ICC International Conference Communications",13,3,19,"MBrown"
"20",20,"MBrown WilliamEWeihl","Zippers: A Focus+Context Display of Web Pages ","WebNet",1,24,20,"MBrown"
"21",21,"MBrown MarcNajork","Collaborative Active Textbooks ","J Vis Lang Comput",1,16,21,"MBrown"
"22",22,"MBrown RobertSedgewick","Techniques for Algorithm Animation ","IEEE Software",1,25,22,"MBrown"
