"","X","Coauthor","Paper","Journal","AuthorID","PaperNO","PaperID","Author"
"1",1,"MJones ElkeARundensteiner HarumiAKuno PedroJos eacute Marr oacute n VivianeCrestana Taube Young GookRa","The MultiView Project: Object-Oriented View Technology and Applications ","SIGMOD International Conference Management of Data Conference",10,1,1,"MJones"
"2",2,"MJones ElkeARundensteiner Yun WuHuang","Symbolic Intersect Detection: A Method for Improving Spatial Intersect Joins ","GeoInformatica",10,2,2,"MJones"
"3",3,"MJones ElkeARundensteiner Yun WuHuang","Improving Spatial Intersect Joins Using Symbolic Intersect Detection ","SSD Symposium Large Spatial Databases",10,3,3,"MJones"
"4",4,"MJones ElkeARundensteiner","View Materialization Techniques for Complex Hierarchical Objects ","CIKM International Conference Information and Knowledge Management",10,4,4,"MJones"
"5",5,"MJones ChadBerkley DanielHigginsMetacat JivkaBojilova","a Schema-Independent XML Database System ","SSDBM Statistical and Scientific Database Management",11,1,5,"MJones"
"6",6,"MJones ChadBerkley DanielHigginsMetacat","Managing Heterogeneous Ecological Data Using Morpho ","SSDBM Statistical and Scientific Database Management",11,2,6,"MJones"
"7",7,"MJones ChadBerkley JivkaBojilova MarkSchildhauer","Managing Scientific Metadata ","IEEE Internet Computing",11,3,7,"MJones"
"8",8,"MJones SingBingKang","Appearance-Based Structure from Motion Using Linear Classes of -D Models ","International Journal of Computer Vision",12,1,8,"MJones"
"9",9,"MJones CeciliaMagdalenaProcopiuc PankajKAgarwal TMMurali","A Monte Carlo algorithm for fast projective clustering ","SIGMOD International Conference Management of Data Conference",12,2,9,"MJones"
"10",10,"MJones ","Towards GHDL_EVAL: A Framework for Deeply Embedding Simple HDLs in HOL"," Category B of TPHOLs",13,1,10,"MJones"
"11",11,"MJones PaulEBlack KellyMHall MichaelDJones TrentNLarson PhillipJWindley ","A Brief Introduction to Formal Methods"," IEEE Custon Integrated Circuits Conference",13,2,11,"MJones"
"12",12,"MJones AnnetteBunker MichaelDJones TrentNLarson PhillipJWindley ","Alexandria: Libraries of Abstract, Verified Hardware Modules"," Workshop Libraries Component Modeling and Quality Assurance",13,3,12,"MJones"
"13",13,"AnnetteBunker TrentLarson MikeJones PhilWindley ","Alexandria: A Tool for Heirarchical Verification"," Tools Paper FMCAD LNCS edited by Windley and Gopalakrishnan",13,4,13,"MJones"
"14",14,"MJones GaneshGopalakrishnan","Verifying Transaction Ordering Properties in Unbounded Bus Networks through Combined Deductive/Algorithmic Methods ","FMCAD Formal Methods Computer Aided Design",13,5,14,"MJones"
"15",15,"MJones MDJones GGopalakrishnan ","Verifying Transaction ordering properties in Unbounded Bus Networks through Combined Deductive/Algorithmic Methods,","Formal Methods Computer Aided Design FMCAD Formal Methods Computer Aided Design Springer LNCS v",13,6,15,"MJones"
"16",16,"MJones ASJones MDJones MClement QSnell ","Pyramid Broadcasting with Fast-forward and Rewind"," th International Conference Telecommunication Systems Modelling and Analysis Nashville",13,7,16,"MJones"
"17",17,"MJones MichaelDJones ","Restricted Types for HOL"," Category B of TPHOLs",13,8,17,"MJones"
"18",18,"MJones MDJones GGopalakrishnan ","Toward Automated Abstraction for Protocols over Branching Networks"," IEEE International High Level Design Validation and Test Workshop HLDVT",13,9,18,"MJones"
"19",19,"MJones AbdelMokkedem RaviHosabettu MichaelDJones GaneshGopalakrishnan ","Formalization and Proof of a Solution to the {PCI} Bus Transaction Ordering Problem"," Formal Methods Systems Design",13,10,19,"MJones"
"20",20,"MJones AiryWeinzoepflen DominiqueCansell DominiqueM eacute ry GaneshGopalakrishnan","Incremental Proof of the Producer/Consumer Property for the PCI Protocol ","ZB",13,11,20,"MJones"
"21",21,"MJones MarkPJones","Simplifying and Improving Qualified Types,","Research Report YALEU DCS RR Yale University New Haven Shorter revised version without proofs appears FPCA Functional Programming Languages and Computer Architecture Conference Functional Programming Languages and Computer Architecture Jolla Computer Animation",1,32,21,"MJones"
"22",22,"MJones AndrewPBlack JohanNordlander MagnusCarlsson RichardBKieburtz","Reactive Objects ","Symposium Object Oriented Real Time Distributed Computing",1,16,22,"MJones"
"23",23,"MJones MarkPJones","Using Parameterized Signatures to Express Modular Structure,","Proceedings of the Twenty Third Annual ACM SIGPLAN Special Interest Group Programming Languages SIGACT Symposium Principles of Programming Languages St Beach",1,33,23,"MJones"
"24",24,"MJones BenedictRGaster MarkPJones","A Polymorphic Type System for Extensible Records and Variants,","Technical report NOTTCS TR Department of Computer Science University of Nottingham University Park Nottingham NG RD England",1,17,24,"MJones"
"25",25,"MJones MarkPJones PaulHudak SebastianShaumyan","Using Types to Parse Natural Language,","Proceedings of the Workshop Functional Programming Ullapool Scotland To be published the Springer Verlag Workshops Computer Science Series",1,34,25,"MJones"
"26",26,"MJones PaulHudak ShengLiang","Monad Transformers and Modular Interpreters ","POPL Symposium Principles of Programming Languages",1,18,26,"MJones"
"27",27,"MJones MarkPJones","A system of constructor classes: overloading and implicit higher-order polymorphism,","FPCA Functional Programming Languages and Computer Architecture Conference Functional Programming Languages and Computer Architecture Copenhagen Appears extended form the Journal of Functional Programming University Press",1,35,27,"MJones"
"28",28,"MJones PaulHudak SebastianShaumyan","Using Types to Parse Natural Language ","Functional Programming",1,19,28,"MJones"
"29",29,"MJones MarkPJones","The implementation of the Gofer functional programming system,","Research Report YALEU DCS RR Yale University New Haven",1,36,29,"MJones"
"30",30,"MJones MarkPJones","A theory of qualified types,","ESOP European Symposium Programming European Symposium Programming Rennes Springer Verlag Lecture Notes Computer Science",1,37,30,"MJones"
"31",31,"SimonPeytonJones MarkJones ErikMeijer","Type classes: exploring the design space,","Proceedings of the Haskell Workshop The th",1,38,31,"MJones"
